  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.64
2                       1.28
4                       2.56
8                       5.10
16                     10.22
32                     20.42
64                     40.95
128                    78.19
256                   154.85
512                   294.50
1024                  533.94
2048                  753.36
4096                  923.77
8192                 1061.37
16384                1110.06
32768                1304.04
65536                1423.56
131072               1492.89
262144               1504.15
524288               1519.71
1048576              1530.61
2097152              1535.99
4194304              1538.63
