  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.67
1                       0.73
2                       0.74
4                       0.74
8                       0.73
16                      0.85
32                      0.86
64                      0.96
128                     1.18
256                     1.44
512                     2.16
1024                    3.05
2048                    4.79
4096                    4.98
8192                    5.98
16384                   7.79
32768                  10.59
65536                  16.15
131072                 27.31
262144                 51.10
524288                 95.97
1048576               189.65
2097152               377.35
4194304              2600.71
