  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       3.50
1                       3.55
2                       3.55
4                       3.56
8                       3.62
16                      3.65
32                      3.71
64                      3.85
128                     4.83
256                     5.34
512                     6.09
1024                    7.44
2048                    9.77
4096                   12.61
8192                   18.38
16384                  26.18
32768                  36.64
65536                  57.75
131072                100.40
262144                186.94
524288                357.85
1048576               698.32
2097152              1378.05
4194304              2737.96
