problem_size,n1s1,n2s1,n2s2
1,0.62,4.61,4.55
2,1.27,9.36,9.32
4,2.51,18.77,18.57
8,5.10,37.57,37.27
16,10.21,62.70,61.38
32,20.47,134.84,133.09
64,40.69,219.51,189.85
128,78.11,354.41,193.80
256,153.74,620.07,623.68
512,294.97,1361.97,592.38
1024,534.57,2447.42,635.35
2048,755.56,4107.53,815.71
4096,915.78,1510.50,1220.96
8192,1062.03,2298.49,1937.97
16384,1107.53,3034.33,2652.46
32768,1307.56,4053.33,3655.04
65536,1423.49,4860.10,4487.69
131072,1488.16,5467.12,5087.56
262144,1504.75,5839.28,5452.26
524288,1522.44,6034.12,5490.65
1048576,1531.67,6120.62,5480.24
2097152,1538.23,5564.16,5461.20
4194304,1540.66,1624.48,1626.65
